;vote_id;comment_id;user_id;gender;age;content;vote;label
1695;2515;3009;80;fem;27.0;Calma gente, assim q o presidente sair, tudo volta a ser maravilhoso pq a raiva que sentem dele dissipará de seus corações.  Quanto a violência contra as mulheres, sempre existiu, e sim, temos que colocar a boca no trombone e fazer valer nossos direitos, para sempre.;0;0.0
1755;1596;1364;48;masc;24.0;Você deveria ter sido abortado.;1;0.3333333333333333
1780;1737;2234;1;fem;24.0;Justamente o que eu comentei sobre o estigma Danilo. E isso se aplica aos homens também. A maioria dos calouros de engenharia não têm ideia das funções que um engenheiro pode desempenhar e das respectivas áreas de atuação.;0;0.0
1805;1719;762;139;masc;22.0;Nossa Fabiano , que mimoso....;0;0.3333333333333333
1813;2632;1063;84;masc;27.0;É, meu chapa... se prepare, porque chegará o dia em que você só poderá cortejar ou elogiar uma mulher na presença de advogado e testemunhas.;1;1.0
1818;2333;69;71;fem;21.0;e a avó;1;0.4
1889;2599;1329;81;fem;32.0;O feminismo é o movimento que mais contribui diretamente para regalias aos marmanjos,barbados'', homens, machões . É oportuno, acomodo e favorável ao homem ...Mulheres que preferem ser escravas do Estado que é dominado e financiado  por HOMENS e agora trabalham para privilegiar os ''opressores'' .kkkkkkkkk Sempre tiveram o direito a trabalhar e agora perderam o direito de não trabalhar kkkkkkPor isso uma daquelas que é tão contra o femimiminismo !  kkkkkk;1;0.6666666666666666
2018;2614;2348;81;fem;32.0;Eu estudo engenharia e nunca vi os homens sendo preconceituosos ou machistas com as mulheres da turma, muito pelo contrario, sempre foram super bem tratadas e respeitadas. Elas nao fazem o curso porque simplismente nao querem, o vestibular é democratico. ;0;0.6666666666666666
2027;2808;144;88;fem;24.0;A culpa é quem fez esse bostanaro nas urnas, agora pegue papel higiênico macronutrientes e se limpe.;1;1.0
2033;3022;1754;100;masc;46.0;" - Tu(Olavo) ""tava"" indo tão bem, tão bem ... e no final : ""... E de fato ela é muito bonita sim ! ..."", deu uma ""mancada"", porém fique tranquilo, acho que não deverá ser acusado de assédio, ""sorte a tua"" ... não ser famoso ...";1;0.6666666666666666
2127;1498;1881;42;fem;23.0;Eu só acho que o que eu acho é o que eu realmente acho achar o que eu acho. Bom...Pelo menos eu acho isso!!!!;0;0.0
2259;3990;2822;147;masc;25.0;Perfeito Marcos. Isso aí. Quando é conveniente, o assédio é permitido.;1;1.0
2306;2045;2433;64;masc;24.0;Tudo balela....o vestibular está la pra quem quiser prestar. Mais igualdade que isso impossivel.Mais uma matéria do politicamente correto.;0;0.25
2417;3097;1367;104;fem;20.0;Não fizeram apologia também à homossexualidade ou ao aborto? Esse enem está cada vez pior!;1;0.6666666666666666
2419;3979;244;27;fem;25.0;Te cuida Michelle, o terrivelmente cristão Bozo tem histórico de sempre ir trocando por mulheres mais nova. E vc nao tem o finesse  da Sra Macron!!!;1;0.3333333333333333
2439;2289;1243;70;fem;25.0;Perfeito ess conceito de feminismo.;1;1.0
2452;73;251;1;fem;24.0;Nossa! Vendo essa foto de perto dela! É feia mesmo!;1;0.75
2526;1484;2493;42;fem;23.0;kkkk ela não é trouxa, é filha de trouxas mas nasceu diferente dos pais, nasceu bruxa.;1;0.3333333333333333
2547;3858;1785;137;masc;46.0;A CULPA NUNCA É DA VITIMA!!! pensa se fosse tua mãe, querendo elevar a auto estima pois ela tem esse direito, e teu pai vai lá e tenta acabar com a vida dela porque ele não soube lidar com o jeito incrivel dela? Seja mais lúcido nas palavras querido, o mundo agradece ;0;0.0
2574;2396;3279;72;masc;24.0;Já devia cozinhar pra fora antes da separação tbm...;1;0.6666666666666666
2613;1728;986;1;fem;24.0;O alvo dessas atrizes americanas histéricas não é o assédio é  o Trump;1;1.0
2639;2739;1082;86;fem;28.0;Concordo Comentador. Coisa de ESQUERDOPATA!;1;0.6666666666666666
2746;2598;988;81;fem;32.0;Pois é, do jeito q tá indo o mundo vai acabar estático, pq tudo q a pessoa se propõe a fazer é errado, politicamente incorreto... porém vale salientar que abuso é diferente de flerte cavalheiresco, então vamos ser cavalheiro e respeitar as mulheres!Beijos pras mulheres do meu Brasil!;0;0.6
2752;2142;590;69;masc;23.0;Demetrius Magnoli vc é um típico esquerdista que só sabe repetir clichês e xingar, uma vez que não tem argumentos. Estudo muito mais que vc pensa, meu caro.;0;0.0
2788;3218;1906;29;fem;27.0;"a quarta-feira (19), uma mulher foi agredida pelo ex-padrasto, que não concorda com a separação.a ""mulher"" era a filha, que levou um empurrão e bateu com a cabeça... o pai foi preso porque agrediu a vítima... olha o nivel das invenções";1;0.5
2840;276;1230;1;fem;24.0;Na sociedade atual as mulheres tem as mesmas chances que os homens e até em algumas carreiras profissionais preferem mulheres do que homens, da mesma maneiras tem profissões que exigem mais esforço físico os homens são preferência.No Brasil temos uma presidenta, temos senadoras, deputadas federais, estaduais, governadoras, prefeitas, vereadoras,.Têm-se mulheres bem sucedidas financeiramente e profissionalmente, elas em ocasiões que o marido morre ou às largam, cuidam dos filhos sozinhas. As feministas parecem que querem voltar a 50 anos atrás, onde as mulheres realmente não tinha direitos.;1;1.0
2850;2069;958;64;masc;24.0;Este meio de comunicacao nao cansa de expor mulheres praticamente nuas tanto na tv, como no site esta reclamando do que. hipocritas...;0;0.6666666666666666
2900;1604;2933;48;masc;24.0;Hilario isso, quer dizer que o problema é das mulheres que traem, mas os homens que desde caim e abel traem não tem problema né??? rsrsrsrs;1;0.3333333333333333
2922;2971;2727;96;masc;23.0;ah então ele não era machista ? ;0;0.25
2926;2512;434;80;fem;27.0;Coisa mais normal, bolsominion lambendo as bolas de outro bolsominion.. Ah Jefferson, faça-me o favor de não ser hipócrita. ;0;0.0
2972;507;2299;17;masc;25.0;É serio isso?  eu curso Nutrição e maioria da minha turma são mulheres, será que estou sofrendo por isso, não mesmo!a voce me diz ,onde está a desigualdade? vai no curso, e nutrição maioria são mulheres, vai no curso de engelharia e maioria são homens! simples assim. desigualdade querem colocar na cabeça das pessoas com essa matéria tola.;1;1.0
3100;971;2610;25;fem;22.0;Engraçado, o bolsonaristas sao um monte de coisas que vcs descreveram segundo vcs... mas...no entanto quem esta ofendendo sao vcs.. contraditorio ne!!! olha o que a esquerda causou no país, divisão! o que este caso tem a ver com politica? ;0;0.25
3125;3181;35;112;masc;22.0;Quando elegeram o atual, eu imaginei que ele seria tão estúpido quanto o preso, mas ele consegue superar todos os dias. Nisso aí ele realmente é um Mito. ;1;0.6666666666666666
3138;1812;220;61;fem;27.0;Quem assistiu o planeta dos macacos vai lembrar bem com quem ela parece!;1;0.75
3190;1564;2296;1;fem;24.0;O mérito não escolhe sexo ou raça, vamos parar de hipocrisia de exigir porcentagens de mulheres, homens ou negros, o espaço se ocupa com competência e não com rostinhos bonitos ou simplesmente por ter nascido em determinado grupo. ;1;1.0
3217;785;428;23;masc;20.0;Pelotas é cidade polo, exportadora de vi a do. Luh lah de Zilva ;1;0.5714285714285714
3242;2151;3040;24;fem;24.0;é só por mim que ninguém se apaixona nem se interessa,ô dificuldade;0;0.0
3306;481;2701;1;fem;24.0;Quando você for castrado sabendo q é inocente e q só usaram a palavra dela como prova, aí vc aprende.;0;0.3333333333333333
3333;2413;84;75;masc;26.0;Durma com uma bronca dessa.  kkkkkkkkkk;0;0.0
3353;657;2452;18;masc;20.0;Ajudei, ele estava com preguiça de lavar, então eu a carreguei até a cozinha para que ela lavasse, jane e melhor ir lavar a louça logo.;1;1.0
3456;2673;984;83;masc;22.0;"APLAUSOS  E MAIS APLAUSOS  , se o cidadão seduz ou tenta seduz alguem, se a outra pessoa n quiser diga n e sai fora , n aceite a ""sedução"" e depois fica com mimimi, eu deu pq era meu chefe mimimi... existem casos extremos , obvio que merecem denuncia, mas certeza de uns85% são aproveitadoras ... ";1;1.0
3468;1034;868;1;fem;24.0;em breve irei relembrar meus tempos de pré-primário...meninos de um lado do pátio e meninas do outro....Ridiculus!!!;0;0.4
3559;2715;463;83;masc;22.0;Uma coisa é indiscutível:  Brigitte Macron não merece ser e stup rada. ;1;1.0
3575;1101;1146;27;fem;25.0;Ficou nervosa, mona?;0;0.0
3611;2175;1120;24;fem;24.0;Mariela, do mesmo jeito que você morre de inveja das panicats da vida? Engraçado é que tu fala como se ele fosse te querer hahaha;0;0.6666666666666666
3746;470;2390;1;fem;24.0;Besteira são elas que escolhem outros cursos pq não tem afinidades com essas carreiras.;0;0.8
3754;1903;180;61;fem;27.0;é feia.. e veia...;1;1.0
3839;3200;710;112;masc;22.0;Me lembrei do filme Escola do Rock, muito bom o filme, aconselho á todos.;0;0.0
3842;2449;2530;27;fem;25.0;Tem que ouvir as que sairam comigo.... Aí vai querer receber o tratamento que ofereço a base de leite de cobra ...;1;1.0
3982;2482;953;1;fem;24.0;"Que babado hein ... ? As conterrâneas de Simone de Beauvoir protestando a favor dos HOMENS , k k k k k k k  ... . Feministas não estão nenhum um pouco preocupadas com o futuro dos homens , são misândricas e não procuram ""igualdade"" com eles, pelo contrário, subjugam e desafiam a inteligência masculina. É um movimento sinistro e diabólico, não é a toa que as verdadeiras feministas amam Mitologia Grega Romana ...";1;1.0
4047;853;2824;24;fem;24.0;A fã em momento algum negou o beijo, subiu ao palco pq quis e aceitou que fosse beijada por Bon Jovi. Haryane estava discutindo com Phellipe e ele roubou o beijo e ela demonstrou o incomodo, tanto que denunciou à direção do programa. Não é hipocrisia, é prestar atenção nos casos para não falar o que não viu. Boa tarde.;0;0.0
4050;4075;809;132;fem;23.0;Isso é só mimimi dessas feminazes burras que não sabem distinguir um flerte, uma cantada de um assédio sexual.;1;1.0
4201;3064;72;103;fem;23.0;Vou te dar opções, já que não está contente com o País:Cuba, Venezuela, Angola, Congo, Haiti, etc...  Se quiser, pago tua passagem com o maior prazer!!!;1;0.25
4224;895;3033;24;fem;24.0;"Vcs citam Rita Lee e esqueceram daquele seriado do Antonio Fagundes chamado ""Amizade colorida"" isso é mais velho q as Olimpídas... Se atualizem pessoas...";0;0.0
4282;172;45;1;fem;24.0;Quer seja física ou não, a ofensa a mulher e ao ser humano é um crime deplorável e deve ser punido na forma da lei. Este tipo de crime vindo de um mandatário de um país deve ser punido por leis internacionais como crime contra a humanidade e não interessa se o atingido é a Madame Brigitte Macrom ou qualquer outro ser humano.;0;0.0
4304;725;2619;18;masc;20.0;"SO DE LER O NOME DO BAR JA SABEM NE ""PARADA DOS NORDESTINOS"" KKKKK";0;0.0
4404;705;2399;23;masc;20.0;É fácil é só por um revolver na cabeça delas e forçar elas a estudarem ciência. Que coisa não, se não tem o que escrever  vai assistir o filme do Pelé.;1;1.0
4444;1448;1478;16;fem;21.0;Outra chata. ;1;1.0
4540;1971;1604;64;masc;24.0;Ah, para de mimimi, minha filha! Essa moça sentou no colo de um outro ator, ficou toda assanhada e agora fica choramingando pq o Vin Diesel a elogiou... Tá querendo aparecer sim!;1;1.0
4639;2661;2059;84;masc;27.0;E onde na reportagem tá dizendo que a mulher tinha uma medida protetiva ou já tinha denunciado uma agressão antes, meu filho? Interprete o texto antes de sair escrevendo esses clichês vazios;0;0.3333333333333333
4689;3879;2045;144;masc;29.0;Sandra! Essa medida protetiva é só um pedaço de papel que não serve nem pra limpar traseiro. A melhor medida protetiva é água ou óleo fervendo no ouvido. Com a água as porcentagens são meio a meio, se ele não morrer, fica maluco. Mas com o oleo é descanso eterno. Sempre digo isso as minhas manas.;0;0.0
4774;2293;2101;70;fem;25.0;Eita....macho cado.. A va...;1;0.75
4810;2856;2915;92;masc;23.0;"A violência é injustificável e longe de mim querer afastar a culpa dos homens que a praticam contra a mulher. Mas é preciso refletir a respeito dos atuais critérios que orientam o relacionamento entre homem e mulher. Como homem disposto a me comportar de modo igualitário em relação à mulher, disposto a compartilhar todo o trabalho doméstico, disposto a manter a fidelidade nos relacionamentos que tive afirmo que houve casos em que essas propostas, algumas, caso a caso,  não tiveram contrapartida por parte de todas as minhas companheiras, o que quer dizer que não é só o homem que provoca discórdias e ocorrências não consentidas entre os pares. Isso não me levou a praticar a violência. Para terminar há aquele ditado que diz: ""O homem mata, a  mulher destrói"" o que nos dá a ideia de que a mulher também pratica a violência, só que diferente.";0;0.6666666666666666
4816;4054;2017;132;fem;23.0;"Digo e repito, homem ciumento ou que acha que a mulher é propriedade dele tem que ficar na jaula. Antes porém, uma surra memorável dada por populares e depois um banho de alcool para ""sarar"" os machucados. Depois cana dura por 10 anos. Se ferir gravemente é cana pra 20 anos sem direito a progressão e se matar, é 30 anos sem nenhum direito. ";0;0.0
4900;376;1562;10;masc;22.0;Predador. Um ator de bos ta que se acha. ;0;0.0
4966;1704;3021;139;masc;22.0;Muito gostam do modismo quando acaba, as coisas voltam ao normal, nada para se preocupar.;0;0.5
5038;1963;300;64;masc;24.0;REALMENTE  a beleza externa É passageira,ela  passa o que permanece é  o conteudo .Mais as digo que o caráter de Brigitte não deveria receber aplausos dos esquerdistas ,até  pq uma mulher abandonar seu marido  e três  filhos e se juntar a um adolescente.......????????Afirmo isso pq seu historio ta escrito ou estou enganada....massas.........;1;1.0
5120;1136;139;29;fem;27.0;Tô usando o retrato dela pra espatantar barata aqui em casa...;1;1.0
5189;2596;486;81;fem;32.0;kkkkkkk coitado mesmo....;1;0.6666666666666666
5203;2814;765;88;fem;24.0;Minha musa;0;0.0
5215;3196;3265;112;masc;22.0;Se isso serve pra você  que bom. Eu não concordo com uma palaver sua, Mas cada um sabe o que é melhor pra si.;1;0.3333333333333333
5284;2594;3197;81;fem;32.0;Pelo menos essa assume, não fica pagando de santa .;1;1.0
5398;631;1729;16;fem;21.0;Burra! Quis ganhar seus 15 minutos de fama falando mal do Vin, era pra ter aceitado sair com ele! Agora tá com filme queimado !;1;1.0
5519;2107;3161;69;masc;23.0;podia ser 64, era melhor que 32, agora pra que explicitar?;1;0.3333333333333333
5633;1887;504;61;fem;27.0;So que essa pinta de loira.;1;0.5
5705;1901;2926;60;fem;34.0;POdemos notar que a advogada em questão está totalmente certa, sem essa de que o único problema são os homens não temerem a lei , se fosse assim todo homem q quer ficar rico iria traficar ou cometer outro ilicito, pq é fato q uma boa parte da parcela masculina gostaria de ter dinheiro a mais, porém eles não o fazem exatamente com medo dessas leis frouxas. Então não podemos dizer q o único motivo de matarem suas mulheres é a lei frouxa. Na verdade eles ficam tão cegos por ñ terem a mulher subordinada a eles q eles ficam cegos, nem lembram se a lei é frouxa ou não.;0;0.0
5767;2894;2282;95;fem;24.0;EEEEEEE NÓIS HOMENS , RECLAMAMOS DE == MULHERISMO , pois só elas podem parir==NOJENTAS;1;1.0
5835;1993;1207;66;fem;37.0;ENEM: um preparatório, um test-drive para o que vem pela frente para quem for apto a entrar na faculdade. Além da questão contradizer a parte de biologia que a própria prova tem a pachorra de cobrar faz essa apologia descarada às ideologias de esquerda que serão futuramente inseridas na cabeça de quem for cursar as lamentáveis faculdades federais brasileiras. Por um país livre de doutrinação, por um país com escolas e faculdades sem partidos e ideologias.;1;0.6
5918;879;1125;24;fem;24.0;Falou o MARCOS, o feministo. Homens apoiadores do feminismo, dos que que vi, 90% faziam amor de costas e o restante eram machinhos beta que não c0mem ninguém se rastejando por alguma aceitação feminina. São motivo de piada entre os homens e até as feministas fazem chacotas deles, procurem por ESQUERDOMACHO e vejam como eles são respeitados, rsrs. Emasculados apontando o dedo pra outros homens e sabotando o próprio time.. que NOJO.;1;1.0
6077;1127;2661;30;fem;24.0;Maria Silva, meu amor. Deixa eu te explicar uma coisinha básica é graças ao feminismo que você anjo, tem os diretos que tem baby, tem mulheres que lutam pela igualdade meu amor. Não sei se você sabe mais até os anos 60, por lei, as mulheres ainda precisavam de permissão do marido para trabalhar fora, além de outras coisas que graças ao feminismo mudaram a sua historia como mulher e de todas as mulheres. Então assim kiri, não tem que acabar com o feminismo baby, pesquisa antes para não falar coisas erradas na internet, bjs e um ótimo dia <3;0;0.0
6095;1414;2684;37;fem;24.0;Não vi nem socos e nem chutes, apenas tapas na cara, olha a fake news ai dona grobo falida.;0;0.6666666666666666
6164;2060;2890;31;fem;25.0;O feminicidio é cometido por apenas uma pequena parte dos homens que por não possuir resiliência chegam as vias violentas de fato. A maioria dos homens não é feminicida. Trata-se não de um problema de educação ou de leis mais duras, mas sim de um problema psicologico que precisa de estudos mais profundos do que limitar-se as justificativas padrão. O homem feminicida quando considera que não tem mais nada a perder, mata em um ato de desespero para se livrar da dor da frustração que esta sentindo. Para esse homem nada importa, a educação ou leis duras são ignoradas, apenas o que importa é se livrar da dor. Ou seja, ele vai matar na primeira oportunidade que tiver.;1;0.6666666666666666
6176;405;1975;1;fem;24.0;Meu Deus do Céu !!!! Quando esses covardes vão parar de agredir suas mulheres?? Quando uma lei de verdade vai punir esses cretinos? Covardes? Bater em alguém do tamanho deles eles não querem. ;0;0.3333333333333333
6228;1109;2791;27;fem;25.0;Se fosse branco ou mulher ainda tava lá....;1;1.0
6315;2686;1523;83;masc;22.0;Calma  Mariana Silva!!;1;0.25
6433;2562;1561;81;fem;32.0;Pois é, a entrevista não repercutiu, o assédio sim, kkkMenina, vc precisa aprender à conduzir uma conversa ( entrevista) na hora que acontece, impor respeito, ficar de risadinha na hora e se fazer de vítima depois é muita inesperiência, ou  semvergonhice mesmo.;1;0.6666666666666666
6444;100;3073;1;fem;24.0;Toda mulher tem sim a obrigação de respeitar e atender o chefe da casa.Cada uma sabe o risco que corre quando é negligente com seu  macho e protetor.;1;1.0
6529;2321;1793;71;fem;21.0;"Tinham que deixar  esse ""valentão ""    numa cela cheia de presidiários que estão na seca   de mulher há um tempão...Ia  sair da lá  sem poder tomar sopa por um bom tempo...";0;0.3333333333333333
6655;841;1145;24;fem;24.0;Homens apoiadores do feminismo, dos que que vi, 90% faziam amor de costas e o restante eram machinhos beta que não c0mem ninguém se rastejando por alguma aceitação feminina. São motivo de piada entre os homens e até as feministas fazem chacotas deles, procurem por ESQUERDOMACHO e vejam como eles são respeitados, rsrs. Emasculados apontando o dedo pra outros homens e sabotando o próprio time.. que NOJO.;1;1.0
6694;1160;491;33;fem;21.0;Melhor ser feia ( o que não é o caso) do que ter  recebido cheque de miliciano.;0;0.0
6846;770;1508;18;masc;20.0;Amo Jout Jout! Diva!;0;0.0
6919;3980;1309;147;masc;25.0;Julianão,a feminista com certeza é gorda,tem os pêlos do suvaco coloridos e não gosta de homens rsrsrs;1;1.0
6922;1332;1178;37;fem;24.0;Já tem muitas feministas em cursos de exatas, querido. Toma cuidado com as besteiras que vc fala sobre mulheres pq pode ter uma feminista na carteira ao lado...;1;0.3333333333333333
6961;942;1382;24;fem;24.0;Acertei a questão e não tô nem aí pro Feminismo!!!;1;0.6666666666666666
7010;2501;2545;31;fem;25.0;bunitinha mas ordinária !;1;0.75
7080;3096;744;104;fem;20.0;Minha úlcera estomacal chega a saltar para fora diante de um comentário tão asqueroso como este, e o pior, vindo de uma mulher. Com certeza ela está ganhando um bom dinheiro de algum macho nojento para ir tão a favor do patriarcado. Hoje mesmo eu fiz um post para avisar que estou desfazendo a amizade com todas as minas que mantem amizade com macho no facebook. Manter amizade com macho, é manter as bases do patriarcado. Não existe diálogo, só o desprezo mesmo. Um xau e três beijos para as biscoiteiras e xotas mandadas pseudo feministas.;1;1.0
7092;2918;119;1;fem;24.0;Um cometário desse ter deslike só prova a que ponto o fanatismo da esquerda chegou;0;0.4
7162;2171;1764;24;fem;24.0;"Lá vem a frescura: ""tô abismada..."". Coisas piores acontecem no Brasil real e duvido que essa daí vem com esse ""tô abismada..."". Talvez, em relação ao BBB, ela também fique abismada...";1;1.0
7188;1389;2319;44;fem;24.0;"O acesso ao estudo é igual. As provas são feitas de igual pra igual. Das duas uma: Ou as mulheres não têm tanto interesse em entrar nesses cursos ou não estão tão aptas para tal. É complicado se posicionar sobre o tema, pois levam tudo ao pé da letra. Sei que há milhares de mulheres que sofrem abuso e preconceito em diversas áreas, mas acho que deveriam ter mais cuidado ao relacionar qualquer tema que vier a frente com machismo, preconceito ou a tal ""desigualdade"".";0;0.6666666666666666
7212;2542;1303;74;masc;28.0;O feminismo repercute mais, pois é um movimento enquanto que o machismo é apenas uma posição........ Por favor não pensem em sexo  quando lerem a  primeira frase desse comentário. Já pensou né?;1;1.0
7223;635;2918;18;masc;20.0;A única linguagem que esses covardes entenderiam, seria se houvesse uma punição de verdade, não esse faz de conta na hora de prender.;1;0.25
7239;661;881;20;fem;24.0;Me obrigo agora bater palmas a essa mulher. Parabéns. Eita povinho chato tem mania de levar as coisas sempre para extremismos. ;1;0.75
7254;1050;3159;1;fem;24.0;Nossa!!  E alguém quis mesmo??;0;0.6666666666666666
7289;1503;2725;42;fem;23.0;"Isto é bom porque ele vai pensar duas vezes antes de jogar sobre as mulheres suas frustrações, as vezes até por ter dúvidas sobre sua própria masculinidade. Têm muitos homens q batem em mulheres simplesmente por não ""saírem do armário"" e ficam com inveja do sexo feminino.";0;0.3333333333333333
